"date_debut","date_fin","Député","Groupe"
"2017-06-21","2017-06-26","adrien-morenas",NA
"2017-06-27","2017-06-28","adrien-morenas",NA
"2017-06-29","2017-07-21","adrien-morenas",NA
"2017-07-22","2017-07-22","adrien-morenas","NI"
"2017-07-23","2017-07-24","adrien-morenas","NI"
"2017-07-25","2017-08-21","adrien-morenas","LREM"
"2017-08-22","2017-09-05","adrien-morenas","LREM"
"2017-09-06","2017-11-16","adrien-morenas","LREM"
"2017-11-17","2017-11-28","adrien-morenas","LREM"
"2017-11-29","2017-11-29","adrien-morenas","LREM"
"2017-11-30","2017-12-08","adrien-morenas","LREM"
"2017-12-09","2017-12-18","adrien-morenas","LREM"
"2017-12-19","2017-12-24","adrien-morenas","LREM"
"2017-12-25","2017-12-25","adrien-morenas","LREM"
"2017-12-26","2018-01-19","adrien-morenas","LREM"
"2018-01-20","2018-01-23","adrien-morenas","LREM"
"2018-01-24","2018-02-02","adrien-morenas","LREM"
"2018-02-03","2018-02-04","adrien-morenas","LREM"
"2018-02-05","2018-03-12","adrien-morenas","LREM"
"2018-03-13","2018-03-18","adrien-morenas","LREM"
"2018-03-19","2018-03-19","adrien-morenas","LREM"
"2018-03-20","2018-03-25","adrien-morenas","LREM"
"2018-03-26","2018-03-26","adrien-morenas","LREM"
"2018-03-27","2018-04-15","adrien-morenas","LREM"
"2018-04-16","2018-04-22","adrien-morenas","LREM"
"2018-04-23","2018-04-23","adrien-morenas","LREM"
"2018-04-24","2018-04-29","adrien-morenas","LREM"
"2018-04-30","2018-05-02","adrien-morenas","LREM"
"2018-05-03","2018-05-08","adrien-morenas","LREM"
"2018-05-09","2018-06-15","adrien-morenas","LREM"
"2018-06-16","2018-07-06","adrien-morenas","LREM"
"2018-07-07","2018-07-11","adrien-morenas","LREM"
"2018-07-12","2018-07-15","adrien-morenas","LREM"
"2018-07-16","2018-09-11","adrien-morenas","LREM"
"2018-09-12","2018-09-17","adrien-morenas","LREM"
"2018-09-18","2018-09-30","adrien-morenas","LREM"
"2018-10-01","2018-10-03","adrien-morenas","LREM"
"2018-10-04","2018-10-04","adrien-morenas","LREM"
"2018-10-05","2018-10-05","adrien-morenas","LREM"
"2018-10-06","2018-10-17","adrien-morenas","LREM"
"2018-10-18","2018-11-16","adrien-morenas","LREM"
"2018-11-17","2018-11-18","adrien-morenas","LREM"
"2018-11-19","2018-11-25","adrien-morenas","LREM"
